Code,"Scientific Name","Common Name","Last Update","# of Sequences","NCBI TaxonId",D.
TREPP,"Tremblaya princeps  (strain PCIT)",,2013-Dec-17,120,891398,B
HODCD,"Hodgkinia cicadicola  (strain Dsem)",,2013-May-28,169,573234,B
CARRP,"Carsonella ruddii  (strain PV)",,2007-May-03,182,387662,B
ZINIC,"Zinderia insecticola  (strain CARI)",,2013-Jan-10,206,871271,B
SULMD,"Sulcia muelleri  (strain DMIN)",,2011-Sep-23,226,641892,B
SULMW,"Sulcia muelleri  (strain GWSS)",,2008-Feb-26,227,444179,B
SULMS,"Sulcia muelleri  (strain SMDSEM)",,2010-Sep-29,242,595499,B
SULMC,"Sulcia muelleri  (strain CARI)",,2012-Dec-17,246,706194,B
YANXG,"Yanofskybacteria sp.  (strain GW2011_GWA1_39_13)",,2017-Oct-29,338,1619019,B
BUCCC,"Buchnera aphidicola  subsp. Cinara cedri (strain Cc)",,2007-Mar-08,365,372461,B
MOREP,"Moranella endobia  (strain PCIT)",,2013-Oct-03,405,903503,B
PHYMT,"Phytoplasma mali  (strain AT)",,2009-May-26,462,482235,B
BUCAJ,"Buchnera aphidicola  subsp. Acyrthosiphon pisum (strain JF98)",,2011-May-26,477,713600,B
MYCGE,"Mycoplasma genitalium  (strain ATCC 33530 / G-37 / NCTC 10195)",,2007-Sep-26,483,243273,B
BUCSC,"Buchnera aphidicola  subsp. Schlechtendalia chinensis",,2017-Nov-07,499,118110,B
BUCBP,"Buchnera aphidicola  subsp. Baizongia pistaciae (strain Bp)",,2010-Mar-21,507,224915,B
NANEQ,"Nanoarchaeum equitans  (strain Kin4-M)",,2009-Sep-16,536,228908,A
MYCHP,"Mycoplasma hominis  (strain ATCC 23114 / NBRC 14850 / NCTC 10111 / PG21)",,2010-Jul-11,536,347256,B
RIEPU,"Riesia pediculicola  (strain USDA)",,2014-Mar-02,538,515618,B
BUCAT,"Buchnera aphidicola  subsp. Acyrthosiphon pisum (strain Tuc7)",,2009-May-26,553,561501,B
BUCA5,"Buchnera aphidicola  subsp. Acyrthosiphon pisum (strain 5A)",,2009-Jun-25,555,563178,B
BUCAP,"Buchnera aphidicola  subsp. Schizaphis graminum (strain Sg)",,2010-Mar-21,560,198804,B
BUCAI,"Buchnera aphidicola  subsp. Acyrthosiphon pisum (strain APS)",,2010-Mar-21,571,107806,B
BUCA0,"Buchnera aphidicola  subsp. Acyrthosiphon pisum (strain LL01)",,2012-Nov-29,577,713603,B
BLASP,"Blattabacterium sp.  subsp. Periplaneta americana (strain BPLAN)",,2011-May-26,582,600809,B
BLOVB,"Blochmannia vafer  (strain BVAF)",,2012-Nov-13,587,859654,B
BLASB,"Blattabacterium sp.  subsp. Blattella germanica (strain Bge)",,2010-Feb-24,587,331104,B
BLOFL,"Blochmannia floridanus",,2010-Mar-21,589,203907,B
BUCAF,"Buchnera aphidicola  subsp. Acyrthosiphon pisum (strain JF99)",,2014-Oct-02,590,713601,B
BAUCH,"Baumannia cicadellinicola  subsp. Homalodisca coagulata",,2006-Aug-16,595,374463,B
UREP2,"Ureaplasma parvum  serovar 3 (strain ATCC 27815 / 27 / NCTC 11736)",,2008-Jul-13,609,505682,B
BLOPB,"Blochmannia pennsylvanicus  (strain BPEN)",,2014-Mar-24,610,291272,B
UREPA,"Ureaplasma parvum  serovar 3 (strain ATCC 700970)",,2010-Mar-21,611,273119,B
WIGBR,"Wigglesworthia glossinidia brevipalpis",,2010-Mar-21,612,36870,B
MYCPB,"Mycoplasma pneumoniae  (strain ATCC 15531 / DSM 22911 / NBRC 14401 / NCTC 10119 / FH)",,2015-Mar-17,629,722438,B
MYCA5,"Mycoplasma arthritidis  (strain 158L3-1)",,2008-Oct-12,631,243272,B
MYCMO,"Mycoplasma mobile  (strain ATCC 43663 / 163K / NCTC 11711)",,2010-Mar-21,635,267748,B
UREU1,"Ureaplasma urealyticum  serovar 10 (strain ATCC 33699 / Western)",,2009-May-15,646,565575,B
