,genus_and_species,taxonomy_id,strain,superkingdom,phylum,class,order,family,genus,assembly_or_accession,Genome_GC,Genome_size,16S_accssion,16S_GC,Tmin,Topt_ave,Topt_low,Topt_high,Tmax,Tmax_Tmin,uniprot_id
0,Fervidobacterium pennivorans,93466,Ven 5,Bacteria,Thermotogae,Thermotogae,Thermotogales,Fervidobacteriaceae,Fervidobacterium,GCA_000235405.3,38.9,2.2,NR_074097,61.3,50.0,80.0,,,100.0,50.0,UP000077096
1,Thermodesulfobacterium geofontis,1295609,OPF15 ,Bacteria,Thermodesulfobacteria,Thermodesulfobacteria,Thermodesulfobacteriales,Thermodesulfobacteriaceae,Thermodesulfobacterium,GCA_000215975.1,30.6,1.6,NR_118457,61.9,70.0,83.0,,,90.0,20.0,UP000235619
2,Thermotoga neapolitana,2337,NS-E,Bacteria,Thermotogae,Thermotogae,Thermotogales,Thermotogaceae,Thermotoga,GCA_000018945.1,46.9,1.9,NR_074959,64.0,55.0,80.0,,,90.0,35.0,UP000263747
3,Thermotoga maritima,2336,MSB8 ,Bacteria,Thermotogae,Thermotogae,Thermotogales,Thermotogaceae,Thermotoga,GCA_000230655.3,46.2,1.9,M21774,63.6,55.0,80.0,,,90.0,35.0,UP000033090
4,Caldicellulosiruptor changbaiensis,1222016,CBS-Z,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family III. Incertae Sedis,Caldicellulosiruptor,GCA_003999255.1,35.1,2.9,JX280492,58.2,40.0,75.0,,,90.0,50.0,UP000282930
5,Caldicellulosiruptor bescii,31899,Z-1320,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family III. Incertae Sedis,Caldicellulosiruptor,GCA_000022325.1,35.2,2.9,NR_074788,58.7,42.0,79.0,78.0,80.0,90.0,48.0,UP000226260
6,Thermocrinis ruber,75906,OC 1/4 ,Bacteria,Aquificae,Aquificae,Aquificales,Aquificaceae,Thermocrinis,GCA_000512735.1,45.2,1.5,AJ005640,61.9,44.0,80.0,,,89.0,45.0,UP000018914
7,Thermotoga petrophila,93929,RKU-1,Bacteria,Thermotogae,Thermotogae,Thermotogales,Thermotogaceae,Thermotoga,GCA_000016785.1,46.1,1.8,AB027016,64.4,47.0,80.0,,,88.0,41.0,UP000262871
8,Thermus thermophilus,274,HB8,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Thermus,GCA_002355995.1,69.0,2.1,M26923,63.9,47.0,68.5,65.0,72.0,85.0,38.0,UP000831866
9,Thermodesulfobacterium commune,1741,YSRA-1 ,Bacteria,Thermodesulfobacteria,Thermodesulfobacteria,Thermodesulfobacteriales,Thermodesulfobacteriaceae,Thermodesulfobacterium,GCA_000734015.1,37.0,1.8,L10662,52.7,45.0,70.0,,,82.0,37.0,UP000264766
10,Dictyoglomus thermophilum,14,H‐6‐12,Bacteria,Dictyoglomi,Dictyoglomia,Dictyoglomales,Dictyoglomaceae,Dictyoglomus,GCA_000020965.1,33.7,2.0,X69194,58.9,50.0,78.0,,,80.0,30.0,UP000325048
11,Thermus parvatiensis,456163,RL,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Thermus,GCA_001535545.1,68.5,2.0,EU017402,63.9,60.0,70.0,,,80.0,20.0,UP000053186
12,Thermosipho melanesiensis,46541,BI429,Bacteria,Thermotogae,Thermotogae,Thermotogales,Fervidobacteriaceae,Thermosipho,GCA_000016905.1,31.4,1.9,Z70248,60.4,45.0,70.0,,,80.0,35.0,UP000243738
13,Fervidobacterium islandicum,2423,H21,Bacteria,Thermotogae,Thermotogae,Thermotogales,Fervidobacteriaceae,Fervidobacterium,GCA_000767275.3,40.7,2.2,M59176,60.6,50.0,65.0,,,80.0,30.0,UP000093740
14,Thermus aquaticus,271,YT-1,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Thermus,GCA_001399775.1,68.0,2.3,L09663,63.0,40.0,70.0,,,79.0,39.0,UP000037685
15,Thermosulfidibacter takaii,412593,ABI70S6,Bacteria,Aquificae,Aquificae,Aquificales,,Thermosulfidibacter,GCA_001547735.1,43.0,1.8,AB282756,62.1,55.0,70.0,,,78.0,23.0,UP000885690
16,Geobacillus thermocatenulatus,33938,DSM 730,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus,GCA_002243665.1,51.9,3.7,Z26926,59.7,35.0,70.0,65.0,75.0,78.0,43.0,UP000198378
17,Hydrogenobacter thermophilus,940,TK-56,Bacteria,Aquificae,Aquificae,Aquificales,Aquificaceae,Hydrogenobacter,GCA_000010785.1,44.0,1.7,Z30214,59.7,50.0,72.5,70.0,75.0,77.5,27.5,UP000681765
18,Caldimicrobium thiodismutans,1653476,TF1,Bacteria,Thermodesulfobacteria,Thermodesulfobacteria,Thermodesulfobacteriales,Thermodesulfobacteriaceae,Caldimicrobium,GCA_001548275.1,38.3,1.8,LC055107,61.3,40.0,75.0,,,77.0,37.0,UP000235731
19,Rhodothermus marinus,29549,DSM 4252 ,Bacteria,Bacteroidetes,,Bacteroidetes Order II. Incertae sedis,Rhodothermaceae,Rhodothermus,GCA_000024845.1,64.3,3.4,NR_029282,61.9,54.0,65.0,,,77.0,23.0,UP000723274
20,Caldanaerobacter subterraneus,911092,ATCC BAA‐225,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Caldanaerobacter,GCA_000007085.1,37.6,2.7,AF195797,58.7,40.0,65.0,,,75.0,35.0,UP000621411
21,Pseudothermotoga lettingae,177758,TMO,Bacteria,Thermotogae,Thermotogae,Thermotogales,Thermotogaceae,Pseudothermotoga,GCA_000017865.1,38.7,2.1,AF355615,59.8,50.0,65.0,,,75.0,25.0,UP000053323
22,Sulfurihydrogenibium azorense,309806,Az-Fu1,Bacteria,Aquificae,Aquificae,Aquificales,Hydrogenothermaceae,Sulfurihydrogenibium,GCA_000021545.1,32.8,1.6,AF528192,57.4,50.0,68.0,,,73.0,23.0,UP000885621
23,Thermus scotoductus,37636,SE-1,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Thermus,GCA_000187005.1,64.9,2.4,AF032127,62.4,42.0,65.0,,,73.0,31.0,UP000288537
24,Desulfurella acetivorans,33002,Desulfurella acetivorans,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfurellales,Desulfurellaceae,Desulfurella,GCA_000517565.1,32.1,1.8,X72768,53.8,42.0,54.5,52.0,57.0,73.0,31.0,UP000886400
25,Thermoanaerobacter kivui,2325,LKT-1,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermoanaerobacter,GCA_000763575.1,35.0,2.4,L09160,57.3,50.0,66.0,,,72.0,22.0,UP000029669
26,Anoxybacillus flavithermus,33934,DSM 2641,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Anoxybacillus,GCA_000019045.1,41.8,2.8,AF004589,56.1,30.0,62.5,60.0,65.0,72.0,42.0,UP000806401
27,Geobacillus kaustophilus,1462,ATCC 8005,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus,GCA_005160065.1,51.9,3.7,X60618,58.7,37.0,62.5,60.0,65.0,72.0,35.0,UP000032522
28,Anoxybacter fermentans,1323375,DY22613,Bacteria,Firmicutes,Clostridia,Halanaerobiales,,Anoxybacter,GCA_003991135.1,35.9,3.6,KC794015,57.2,44.0,61.0,60.0,62.0,72.0,28.0,UP000267250
29,Caldisericum exile,693075,AZM16c01,Bacteria,Caldiserica,Caldisericia,Caldisericales,Caldisericaceae,Caldisericum,GCA_000284335.1,35.4,1.6,AB428365,55.2,55.0,65.0,,,70.0,15.0,UP000237040
30,Caldithrix abyssi,187145,LF13 ,Bacteria,Calditrichaeota,Calditrichae,Calditrichales,Calditrichaceae,Caldithrix,GCA_001886815.1,45.1,5.0,AJ430587,57.2,40.0,60.0,,,70.0,30.0,UP000886124
31,Geobacillus thermoleovorans,33941,ATCC 43513,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus,GCA_001610955.1,52.3,3.5,M77488,59.1,45.0,60.0,55.0,65.0,70.0,25.0,UP000831488
32,Geobacillus thermodenitrificans,33940,DSM 465,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus,GCA_000015745.1,48.9,3.6,Z26928,58.4,45.0,57.5,50.0,65.0,70.0,25.0,UP000244590
33,Anoxybacillus gonensis,198467,G2,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Anoxybacillus,GCA_001187595.1,41.7,2.8,AY122325,56.6,40.0,57.5,55.0,60.0,70.0,30.0,UP000065017
34,Thermoanaerobacterium thermosaccharolyticum,1517,ATCC 7956,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family III. Incertae Sedis,Thermoanaerobacterium,GCA_000145615.1,34.1,2.8,M59119,51.9,30.0,58.5,55.0,62.0,69.0,39.0,UP000638904
35,Oceanithermus profundus,187137,506,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Oceanithermus,GCA_000183745.1,69.8,2.4,AJ430586,62.8,40.0,60.0,,,68.0,28.0,UP000886105
36,Parageobacillus thermoglucosidasius,1426,DSM 2542,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Parageobacillus,GCA_001295365.1,43.9,3.9,NR_043022,58.5,37.0,60.0,,,68.0,31.0,UP001058458
37,Thermovirga lienii,336261,Cas60314,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Thermovirga,GCA_000233775.1,47.1,2.0,DQ071273,58.0,37.0,58.0,,,68.0,31.0,UP000261766
38,Carboxydocella thermautotrophica,178899,41,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XVI. Incertae Sedis,Carboxydocella,GCA_003054495.1,49.0,2.7,AY061974,57.2,40.0,58.0,,,68.0,28.0,UP000244166
39,Chloroflexus aggregans,152260,MD-66,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Chloroflexaceae,Chloroflexus,GCA_000021945.1,56.4,4.7,D32255,62.7,50.0,55.0,,,67.0,17.0,UP000243376
40,Thermogutta terrifontis,1331910,R1,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Thermogutta,GCA_002277955.1,57.3,4.8,KC867694,59.5,25.0,57.5,55.0,60.0,67.0,42.0,UP000215086
41,Chloroflexus aurantiacus,1108,J-10-fl,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Chloroflexaceae,Chloroflexus,GCA_000022185.1,56.7,5.3,D38365,62.7,40.0,56.0,52.0,60.0,66.0,26.0,UP000264219
42,Anoxybacillus amylolyticus,294699,MR3C,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Anoxybacillus,GCA_001634285.1,43.6,3.2,AJ618979,56.4,45.0,61.0,,,65.0,20.0,UP000295330
43,Symbiobacterium thermophilum,2734,T,Bacteria,Firmicutes,Clostridia,Clostridiales,Symbiobacteriaceae,Symbiobacterium,GCA_000009905.1,,3.6,AB004913,60.6,45.0,60.0,,,65.0,20.0,UP000732377
44,Thermacetogenium phaeum,85874,PB,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermacetogenium,GCA_000305935.1,53.9,2.9,AB020336,59.7,40.0,58.0,,,65.0,25.0,UP000053326
45,Thermodesulfobium acidiphilum,1794699, 3127-1,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermodesulfobiaceae,Thermodesulfobium,GCA_003057965.1,33.7,1.8,KU664659,54.0,37.0,55.0,,,65.0,28.0,UP000244792
46,Herbinix luporum,1679721,SD1D,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Herbinix,GCA_900070325.1,35.3,2.6,LN626359,52.7,40.0,55.0,,,65.0,25.0,UP000580092
47,Defluviitoga tunisiensis,1006576,SulfLac1,Bacteria,Thermotogae,Thermotogae,Petrotogales,Petrotogaceae,Defluviitoga,GCA_000953715.1,31.4,2.1,FR850164,55.1,37.0,55.0,,,65.0,28.0,UP000569334
48,Calditerrivibrio nitroreducens,477976,Yu37-1,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,Deferribacteraceae,Calditerrivibrio,GCA_000183405.1,35.7,2.2,AB364234,56.0,30.0,55.0,,,65.0,35.0,UP000242881
49,Kyrpidia tusciae,33943,T2,Bacteria,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Kyrpidia,GCA_000092905.1,59.1,3.4,NR_040846,62.8,47.0,55.0,,,65.0,18.0,UP000605456
50,Sphaerobacter thermophilus,2057,Sphaerobacter thermophilus,Bacteria,Chloroflexi,Thermomicrobia,Sphaerobacterales,Sphaerobacteraceae,Sphaerobacter,GCA_000024985.1,68.1,4.0,AJ420142,64.0,40.0,55.0,,,65.0,25.0,UP000249242
51,Novibacillus thermophilus,1471761,SG-1 ,Bacteria,Firmicutes,Bacilli,Bacillales,Thermoactinomycetaceae,Novibacillus,GCA_002005165.1,50.4,3.6,KF958346,59.4,30.0,50.0,,,65.0,35.0,UP000188603
52,Bacillus beveridgei,632773,MLTeJB,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,GCA_001721685.1,46.1,3.6,FJ825145,55.5,5.0,37.0,,,65.0,60.0,UP000094463
53,Pseudodesulfovibrio profundus,57320,500-1,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Pseudodesulfovibrio,GCA_900217235.1,52.8,4.2,U90726,53.7,15.0,25.0,,,65.0,50.0,UP000219215
54,Moorella thermoacetica,1525,ATCC 35608,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Moorella,GCA_001267435.1,55.8,2.6,AY656675,57.5,47.0,57.0,56.0,58.0,65.0,18.0,UP000324556
55,Thermodesulfobium narugense,184064,Na82,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermodesulfobiaceae,Thermodesulfobium,GCA_000212395.1,33.9,1.9,AB077817,53.9,37.0,52.5,50.0,55.0,65.0,28.0,UP000237193
56,Ureibacillus thermosphaericus,51173,DSM 10633,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Ureibacillus,GCA_002370195.2,36.3,3.5,X90640,55.2,33.0,60.0,,,64.0,31.0,UP000577665
57,Bacillus coagulans,1398,ATCC 7050,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,GCA_001039495.1,46.2,3.7,D16267,56.2,30.0,48.5,40.0,57.0,61.0,31.0,UP001059787
58,Athalassotoga saccharophila,1441386,NAS-01,Bacteria,Thermotogae,Thermotogae,Mesoaciditogales,Mesoaciditogaceae,Athalassotoga,GCA_009936215.1,40.4,2.0,AB898788,55.9,30.0,55.0,,,60.0,30.0,UP000463916
59,Anaerolinea thermophila,167964,UNI-1 ,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Anaerolinea,GCA_000199675.1,53.8,3.5,AB046413,57.1,55.0,55.0,,,60.0,5.0,UP000064249
