,Cellular component,Molecular function,Ligand,Biological process,PTM,no_keywords,Technical term,Domain
145,Cytoplasm,Hydrolase,Nucleotide-binding,Protein biosynthesis,,,,
149,,tRNA-binding,,,,,,
425,,Ribosomal protein,,,,,,
1890,,rRNA-binding,,,,,,
2156,,Ribosomal protein,,,,,,
2286,,Initiation factor,,Protein biosynthesis,,,,
3699,,Ribosomal protein,,,,,,
3714,,rRNA-binding,,,,,,
3765,,rRNA-binding,,,,,,
3823,,Ribosomal protein,,,,,,
3913,,tRNA-binding,,,,,,
3914,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,,
3946,,tRNA-binding,,,,,,
4000,Cytoplasm,RNA-binding,,Cell wall biogenesis/degradation,,,,
4641,,Ribosomal protein,,,,,,
6129,Cytoplasm,Hydrolase,Nucleotide-binding,Protein biosynthesis,,,,
6131,,tRNA-binding,,,,,,
7333,,,,,Phosphoprotein,,,
7613,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,,
8180,,,,,,True,,
8574,,rRNA-binding,,,,,,
9157,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,,
9445,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,,
9448,,tRNA-binding,,,,,Reference proteome,
10715,,Ribosomal protein,,,,,Reference proteome,
11206,,Ribosomal protein,,,,,,
11236,,tRNA-binding,,,,,,
11246,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,,
13199,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,,
13222,,tRNA-binding,,,,,,
14271,,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,,
14332,,Ribosomal protein,,,,,,
15509,,tRNA-binding,,,,,,
15560,,rRNA-binding,,,,,,
15619,,Ribosomal protein,,,,,,
15711,,Ribosomal protein,,,,,,
15794,,,Nucleotide-binding,,,,,
16345,,,,,Phosphoprotein,,,
16835,,tRNA-binding,,,,,,
16840,,Ribosomal protein,,,,,,
16989,,rRNA-binding,,,,,,
17702,,Ribosomal protein,,,,,,
18047,,tRNA-binding,,,,,,
18094,,Ribosomal protein,,,,,,
18249,,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,,
18717,,Ribosomal protein,,,,,,
19447,,Ribosomal protein,,,,,,
19547,Cytoplasm,RNA-binding,,Cell wall biogenesis/degradation,,,,
19592,,Sigma factor,,Transcription regulation,,,,
